x (µm)	y (µm)	n (1/µm^2)
20.636	24.388	0.415100598
21.574	24.388	0.415100598
22.512	24.388	0.21568665
23.45	24.388	0
-23.45	23.45	0
-22.512	23.45	0.110277536
-21.574	23.45	0.489389917
-20.636	23.45	0.569679507
-19.698	23.45	0
-18.76	23.45	0
-17.822	23.45	0
-16.884	23.45	0.188249125
-15.946	23.45	0.033718918
-15.008	23.45	0.268357907
-14.07	23.45	0
-13.132	23.45	0
-12.194	23.45	0.024321818
-11.256	23.45	0
-10.318	23.45	0
-9.38	23.45	0
-8.442	23.45	0
-7.504	23.45	0
-6.566	23.45	0.264289227
-5.628	23.45	0
-4.69	23.45	0
-3.752	23.45	0
-2.814	23.45	0
-1.876	23.45	0
-0.938	23.45	0
0	23.45	0.132302564
0.938	23.45	0
1.876	23.45	0
2.814	23.45	0.135231759
3.752	23.45	0
4.69	23.45	0
5.628	23.45	0
6.566	23.45	0
7.504	23.45	0.292176421
8.442	23.45	0.292176421
9.38	23.45	0.374796672
10.318	23.45	0.554066416
11.256	23.45	0.40718995
12.194	23.45	0.914017185
13.132	23.45	0.443572342
14.07	23.45	0.171708858
15.008	23.45	0.347057775
15.946	23.45	0.846371525
16.884	23.45	0.075477154
17.822	23.45	0
18.76	23.45	0
19.698	23.45	0.055063017
20.636	23.45	0.229768499
21.574	23.45	0.4992181
22.512	23.45	0.260795734
23.45	23.45	0.161169563
-23.45	22.512	0
-22.512	22.512	0.128266831
-21.574	22.512	0
-20.636	22.512	0.671686255
-19.698	22.512	0.220652292
-18.76	22.512	0
-17.822	22.512	0.303951311
-16.884	22.512	0
-15.946	22.512	0.194980221
-15.008	22.512	0
-14.07	22.512	0
-13.132	22.512	0
-12.194	22.512	0
-11.256	22.512	0
-10.318	22.512	0.474159644
-9.38	22.512	0.039745267
-8.442	22.512	0.25097782
-7.504	22.512	0
-6.566	22.512	0
-5.628	22.512	0
-4.69	22.512	0
-3.752	22.512	0.131604909
-2.814	22.512	0.508142317
-1.876	22.512	0
-0.938	22.512	0
0	22.512	0
0.938	22.512	0
1.876	22.512	0
2.814	22.512	0.227131355
3.752	22.512	0
4.69	22.512	0.225713775
5.628	22.512	0.039295863
6.566	22.512	0.048807625
7.504	22.512	0
8.442	22.512	0.829911654
9.38	22.512	0.062333149
10.318	22.512	0.738797511
11.256	22.512	0.953569975
12.194	22.512	1.419986521
13.132	22.512	0.149817114
14.07	22.512	0
15.008	22.512	0
15.946	22.512	0
16.884	22.512	0.276817218
17.822	22.512	0
18.76	22.512	0
19.698	22.512	0
20.636	22.512	0.053710254
21.574	22.512	0.548382826
22.512	22.512	0
23.45	22.512	0.042118078
-23.45	21.574	0.558481181
-22.512	21.574	0.419091047
-21.574	21.574	0.068082416
-20.636	21.574	0.156175509
-19.698	21.574	0
-18.76	21.574	0
-17.822	21.574	0.128000226
-16.884	21.574	0.028716106
-15.946	21.574	0.337963619
-15.008	21.574	0
-14.07	21.574	0
-13.132	21.574	0
-12.194	21.574	0
-11.256	21.574	0.121410801
-10.318	21.574	0.167727331
-9.38	21.574	0.444445387
-8.442	21.574	0
-7.504	21.574	0
-6.566	21.574	0.031132081
-5.628	21.574	0.171864236
-4.69	21.574	0
-3.752	21.574	0.131604909
-2.814	21.574	0.691955335
-1.876	21.574	0.080631292
-0.938	21.574	0.634301731
0	21.574	0.344020159
0.938	21.574	0
1.876	21.574	0.113519292
2.814	21.574	0.341001948
3.752	21.574	0.78492978
4.69	21.574	0.605280361
5.628	21.574	0.475985735
6.566	21.574	0.213314749
7.504	21.574	1.188192967
8.442	21.574	0.523755419
9.38	21.574	0.425775034
10.318	21.574	1.605727348
11.256	21.574	0.605292444
12.194	21.574	1.18153029
13.132	21.574	0.859225686
14.07	21.574	0
15.008	21.574	0
15.946	21.574	0.130899737
16.884	21.574	0.340055753
17.822	21.574	0
18.76	21.574	0.391909774
19.698	21.574	0.043383105
20.636	21.574	0.604328734
21.574	21.574	0
22.512	21.574	0.418894893
23.45	21.574	0.012052749
-23.45	20.636	0.003542801
-22.512	20.636	0
-21.574	20.636	0.178499607
-20.636	20.636	0.121392282
-19.698	20.636	0
-18.76	20.636	0
-17.822	20.636	0.06649976
-16.884	20.636	0.242644196
-15.946	20.636	0
-15.008	20.636	0.401604738
-14.07	20.636	0.285240743
-13.132	20.636	0
-12.194	20.636	0.223263553
-11.256	20.636	0.111275558
-10.318	20.636	0.846795205
-9.38	20.636	0.60886386
-8.442	20.636	0.777456192
-7.504	20.636	0.205023362
-6.566	20.636	0.184251435
-5.628	20.636	0
-4.69	20.636	0.20600207
-3.752	20.636	0.279950928
-2.814	20.636	1.04379627
-1.876	20.636	1.098221515
-0.938	20.636	0.674263399
0	20.636	0.76402166
0.938	20.636	0.395704777
1.876	20.636	1.039903045
2.814	20.636	1.042043743
3.752	20.636	1.314985702
4.69	20.636	1.451282517
5.628	20.636	1.092557973
6.566	20.636	1.401042093
7.504	20.636	0.383224846
8.442	20.636	0.836775719
9.38	20.636	0.879743301
10.318	20.636	1.436368523
11.256	20.636	1.396542861
12.194	20.636	0.877930326
13.132	20.636	0.481809757
14.07	20.636	0
15.008	20.636	0.059324156
15.946	20.636	0.208323833
16.884	20.636	0.422702641
17.822	20.636	0.185052056
18.76	20.636	0
19.698	20.636	0.190796851
20.636	20.636	0.690920239
21.574	20.636	0.095141706
22.512	20.636	0.012839653
23.45	20.636	0.258889516
-23.45	19.698	0
-22.512	19.698	0.596504308
-21.574	19.698	0
-20.636	19.698	0.16378244
-19.698	19.698	0
-18.76	19.698	0
-17.822	19.698	0.300676816
-16.884	19.698	0.34482585
-15.946	19.698	0
-15.008	19.698	0
-14.07	19.698	0
-13.132	19.698	0.041206026
-12.194	19.698	0.295632562
-11.256	19.698	0.866384741
-10.318	19.698	0.846795205
-9.38	19.698	0.293621968
-8.442	19.698	0.835570071
-7.504	19.698	0.947023488
-6.566	19.698	0.109413134
-5.628	19.698	1.042699662
-4.69	19.698	0.616640504
-3.752	19.698	0.753484726
-2.814	19.698	1.052173849
-1.876	19.698	1.035895677
-0.938	19.698	1.813399527
0	19.698	0.908523032
0.938	19.698	0.727044492
1.876	19.698	1.602089571
2.814	19.698	1.523755725
3.752	19.698	2.051469771
4.69	19.698	1.553619776
5.628	19.698	1.591687793
6.566	19.698	1.278495114
7.504	19.698	1.141184974
