k	e	err(e)
Å-1	meV	meV
2.050	0.8094	--
2.052	0.8108	--
2.054	0.8132	--
2.056	0.8158	--
2.058	0.8171	--
2.060	0.8199	--
2.062	0.8216	--
2.064	0.8242	--
2.066	0.8268	--
2.068	0.8289	--
2.070	0.8321	--
2.072	0.8340	--
2.074	0.8361	--
2.076	0.8386	--
2.078	0.8405	--
2.080	0.8424	--
2.082	0.8447	--
2.084	0.8476	--
2.086	0.8501	--
2.088	0.8518	--
2.090	0.8551	--
2.092	0.8578	--
2.094	0.8602	--
2.096	0.8626	--
2.098	0.8649	--
2.100	0.8637	0.0015
2.102	0.8712	--
2.104	0.8711	--
2.106	0.8715	--
2.108	0.8791	--
2.110	0.8791	--
2.112	0.8786	--
2.114	0.8871	--
2.116	0.8870	--
2.118	0.8858	--
2.120	0.8946	--
2.122	0.8949	--
2.124	0.8937	--
2.126	0.9032	--
2.128	0.9038	--
2.130	0.9088	--
2.132	0.9108	--
2.134	0.9113	--
2.136	0.9156	--
2.138	0.9188	--
2.140	0.9194	--
2.142	0.9249	--
2.144	0.9271	--
2.146	0.9278	--
2.148	0.9346	--
2.150	0.9374	--
2.152	0.9396	--
2.154	0.9435	--
2.156	0.9456	--
2.158	0.9487	--
2.160	0.9519	--
2.162	0.9540	--
2.164	0.9579	--
2.166	0.9613	--
2.168	0.9635	--
2.170	0.9673	--
2.172	0.9703	--
2.174	0.9720	--
2.176	0.9763	--
2.178	0.9800	--
2.180	0.9839	--
2.182	0.9873	--
2.184	0.9896	--
2.186	0.9923	--
2.188	0.9966	--
2.190	0.9986	--
2.192	1.0018	--
2.194	1.0060	--
2.196	1.0077	--
2.198	1.0122	--
2.200	1.0154	0.0017
2.202	1.0171	--
2.204	1.0219	--
2.206	1.0239	--
2.208	1.0264	--
2.210	1.0308	--
2.212	1.0344	--
2.214	1.0384	--
2.216	1.0400	--
2.218	1.0427	--
2.220	1.0484	--
2.222	1.0503	--
2.224	1.0540	--
2.226	1.0568	--
2.228	1.0593	--
2.230	1.0636	--
2.232	1.0658	--
2.234	1.0675	--
2.236	1.0709	--
2.238	1.0750	--
2.240	1.0791	--
2.242	1.0825	--
2.244	1.0847	--
2.246	1.0874	--
2.248	1.0901	--
2.250	1.0944	--
2.252	1.0980	--
2.254	1.1006	--
2.256	1.1041	--
2.258	1.1073	--
2.260	1.1109	--
2.262	1.1145	--
2.264	1.1167	--
2.266	1.1194	--
2.268	1.1219	--
2.270	1.1250	--
2.272	1.1281	--
2.274	1.1301	--
